Store Name,Address,Timings,Coordinates,Phone Number
Titan World,"No E1, Inner CircleConnaught PlaceNew Delhi - 110001, ",Open until 09:00 PM,"(28.630116254889508, 77.21856468621054)","+911142137111	"
Titan World,"No 17A/10, Ajmal Khan RoadKarol BaghNew Delhi - 110005, ",Open until 09:30 PM,"(28.645219983833485, 77.18872003126364)","+911145081301	"
Titan World,"No 20E, Bungalow RoadKamla NagarNew Delhi - 110007, ",Open until 09:00 PM,"(28.684284639863435, 77.20355373677035)","+911141586846	"
Titan World,"No H9A, Ground FloorKalkaji Main MarketNew Delhi - 110019, ",Open until 09:00 PM,"(28.539286743000048, 77.25566500000008)","+911147060130	"
Titan World,"No I/21, Central MarketLajpat NagarNew Delhi - 110024, ",Open until 09:00 PM,"(28.569990000000075, 77.24131000000006)","+911141052501	"
Titan World,"No F/138Rajouri GardenNew Delhi - 110027, ",Open until 09:00 PM,"(28.657007110498167, 77.12392102086466)","+911141605388	"
Titan World,"No F/42, Part 1South ExtensionNew Delhi - 110049, ",Open until 09:00 PM,"(28.56976260206569, 77.22003234999497)","+911141674135	"
Titan World,"No A/3/1, Jwala Heri, Main RoadPaschim ViharNew Delhi - 110063, ",Open until 09:00 PM,"(28.658844997947497, 77.07983500188209)","+911142430987	"
Titan World,"F/112 & F/124, 1st Floor, Ambience MallVasant KunjNew Delhi - 110070, ",Open until 09:00 PM,"(28.540830000000028, 77.15538000000004)","+919999717156	"
Titan World,"Shop No 227, 2nd Floor, Vegas Mall, Plot No 6Dwarka, Sector 14New Delhi - 110078, ",Open until 10:00 PM,"(28.601020000000062, 77.02704000000006)","+911166502008	"
Titan World,"No E/1, Shop No 10Rohini, Sector 7New Delhi - 110085, ",Open until 09:00 PM,"(28.706980000000044, 77.12152000000003)","+918368681283	"
Titan World,"No B2, ChajjupurShahdaraNew Delhi - 110094, ",Open until 08:30 PM,"(28.71897258300004, 77.26097000000004)","+918700931242	"
Titan World,"Shop No G26, Parsvnath City MallSector 12Faridabad - 121001, ",Open until 09:00 PM,"(28.403831554000078, 77.28621000000004)","+917065814501	"
Titan World,"Shop No G/46, GF, Crown Interiors MallSector 35Faridabad - 121003, ",Open until 09:00 PM,"(28.469730000000027, 77.30689000000007)","+911294161168	"
Titan World,"Property No 6458, GT RoadAgra ChowkPalwal - 121102, ",Open until 07:00 PM,"(28.135353854758034, 77.32963689968315)","+918448273298	"
Titan World,"SCF 91, Ground FloorSector 14Gurugram - 122001, ",Open until 08:30 PM,"(28.461687606110832, 77.05096934597651)","+911244266981	"
Titan World,"SN 67 & 68, GF, MGF Metropolitan MallMG RoadGurugram - 122002, ",Open until 09:00 PM,"(28.480030000000056, 77.08026000000007)","+918287813947	"
Titan World,"No G64 & G65, Sapphire MallSector 83Gurugram - 122004, ",Open until 09:00 PM,"(28.39346639000007, 76.97762000000006)","+911244203923	"
Titan World,"No 108, 1st Flr, Ambience Mall IslandNathupurGurugram - 122016, ",Open until 09:00 PM,"(28.50685500000003, 77.07771099700005)","+911244665520	"
Titan World,"SCO 40Bawal RoadRewari - 123401, ",Open until 10:00 PM,"(28.175500359595578, 76.61035414781419)","+919650108034	"
Titan World,"Shop No 1213/29Model TownRohtak - 124001, ",Open until 09:00 PM,"(28.88911392056286, 76.61308526738443)","+917419292084	"
Titan World,"SCO 103, PLA Shopping ComplexDelhi RoadHisar - 125001, ",Open until 08:00 PM,"(29.16975032004663, 75.75437309199228)","+917015996025	"
Titan World,"Dabwali RoadLal Batti ChowkSirsa - 125055, ",Open until 08:00 PM,"(29.535091380474615, 75.03353778852804)","+918307438300	"
Titan World,"No 41 to 44, Ground Floor, Atlas RoadMain Subash ChowkSonipat - 131001, ",Open until 08:30 PM,"(28.977361877832564, 77.02785430327309)","+911302214064	"
Titan World,"No B/9/573, Kunjpura RoadAdarsh NagarKarnal - 132001, ",Open until 09:00 PM,"(29.70486001563485, 76.99866004148436)","+911844007001	"
Titan World,"Ground FloorNicholson RoadAmbala - 133001, ",Open until 08:30 PM,"(30.340199779368803, 76.84469509118921)","+911714072673	"
Titan World,"SCO 367Sector 8Panchkula - 134109, ",Open until 08:30 PM,"(30.70388068109469, 76.86375272446199)","+911724018651	"
Titan World,"Shop No HTMCW0500855Ambedkar ChowkKurukshetra - 136118, ",Open until 08:00 PM,"(30.02462913000005, 76.85146000000003)","+911744294281	"
Titan World,"No 41, Feroze Gandhi MarketBhai Wala ChowkLudhiana - 141001, ",Open until 08:00 PM,"(30.89356965883691, 75.83831575927042)","+919216323238	"
Titan World,"No 1120Mall RoadAmritsar - 143001, ",Open until 08:30 PM,"(31.641901166633435, 74.8707402899836)","+911835063888	"
Titan World,"No 223Queens RoadAmritsar - 143001, ",Open until 08:30 PM,"(31.634732455581535, 74.87115019585248)","+911835034436	"
Titan World,"No 410, Main MarketModel TownJalandhar - 144001, ",Open until 08:30 PM,"(31.322580000000073, 75.58361572900003)","+919814057582	"
Titan World,"SCO 4, Basement, Louis Philippe StoreBhupinder RoadPatiala - 147001, ",Open until 09:00 PM,"(30.315633853000065, 76.37671000000006)","+911755020092	"
Titan World,"Shop No 18, Gr Flr, Omaxe Wedding MallMall RoadPatiala - 147001, ",Open until 09:00 PM,"(30.315633853000065, 76.37671000000006)","+911755019092	"
Titan World,"Shop No 2090B/New Z1/11651Mall RoadBathinda - 151001, ",Open until 08:30 PM,"(30.223210538344606, 74.9560824401394)","+911645064060	"
Titan World,"SCO 133/134/135, Bridge RoadSector 17Chandigarh - 160017, ",Open until 08:30 PM,"(30.739970000000028, 76.78258375000007)","+918283961551	"
Titan World,"SCF 44, SAS NagarPhase 7Mohali - 160055, ",Open until 09:00 PM,"(30.72887366282984, 76.71381826060949)","+911724678882	"
Titan World,"Ground Floor, Sharma House, Rajgarh RoadRajgarh RoadSolan - 173212, ",Open until 08:00 PM,"(30.908545694322086, 77.09502331366988)","+911792226607	"
Titan World,"No 2947/9Dharamshala RoadKangra - 176001, ",Open until 08:30 PM,"(32.137518727657216, 76.29510849032157)","+918699135582	"
Titan World,"Shop No 655A, Dudhadhari Mandir RoadGandhi Nagar ExtnJammu - 180001, ",Open until 09:00 PM,"(23.22881998644621, 72.6737900323578)","+911912459985	"
Titan World,"No 1, Banwaris PlazaAmbedkar RoadGhaziabad - 201001, ",Open until 08:30 PM,"(28.680309983287152, 77.42453498645895)","+911204120728	"
Titan World,"Shop No GC012A, Dubai Mall, Plot No A5RDC Raj NagarGhaziabad - 201002, ",Open until 09:00 PM,"(28.67321000000004, 77.44305000000008)","+919999594609	"
Titan World,"15, Plot No 1, 1st Floor, Pacific Mall, Site 4SahibabadGhaziabad - 201010, ",Open until 09:30 PM,"(46.560359979617225, -123.55382077627533)","+911204208038	"
Titan World,"Shop No 119, 1st Flr, Mahagun Metro MallVaishaliGhaziabad - 201010, ",Open until 09:00 PM,"(28.659995000000038, 77.34127820500004)","+911204138262	"
Titan World,"No 33 & 34, Shipra MallIndirapuramGhaziabad - 201012, ",Open until 08:30 PM,"(28.652340000000038, 77.35526953300007)","+911206476094	"
Titan World,"No 74, Plot No A2, TGIP MallSec 38ANoida - 201301, ",Open until 09:00 PM,"(28.58459000000005, 77.32523769200003)","+911204245040	"
Titan World,"No G21Sector 18Noida - 201301, ",Open until 09:00 PM,"(28.590343453878326, 77.31191290078533)","+918800784826	"
Titan World,"No 23BPPN MarketKanpur - 208001, ",Open until 08:30 PM,"(26.47108000000003, 80.35143517300008)","+919140413880	"
Titan World,"No 1 & 2, 113/121ASwaroop NagarKanpur - 208002, ",Open until 08:30 PM,"(26.50772500000005, 80.28979953800007)","+915123042637	"
Titan World,"No 133/130, M BlockKidwai NagarKanpur - 208011, ",Open until 09:00 PM,"(26.425997781640735, 80.33304676574775)","+917233044044	"
Titan World,"No 18/B/36, Sardar Patel MargCivil LinesPrayagraj - 211001, ",Open until 09:00 PM,"(25.45333999928708, 81.83502999219814)","+919918700633	"
Titan World,"Ground Floor, Park StreetLahurabirVaranasi - 221001, ",Open until 08:30 PM,"(25.328520258000026, 83.01909000000006)","+915422410233	"
Titan World,"No 9, Kashi Anathalaya BuildingLahurabirVaranasi - 221002, ",Open until 08:30 PM,"(25.33871666700003, 82.98183000000006)","+919721527270	"
Titan World,"Shop No 03, B27/98, A7ADurghakundVaranasi - 221005, ",Open until 08:30 PM,"(25.272920000000056, 82.99532980500004)","+915422310000	"
Titan World,"Shop No 1, S/9/471, Kuber ComplexRathyatraVaranasi - 221010, ",Open until 08:30 PM,"(25.298993929000062, 82.98860000000008)","+919918700557	"
Titan World,"No 2/4/26, Ground Floor, Ram NiwasRekabganj MarketFaizabad - 224001, ",Open until 08:30 PM,"(26.780302513523186, 82.14442620102156)","+919559993693	"
Titan World,"No 16, 31/41, Mahatma Gandhi MargHazratganjLucknow - 226001, ",Open until 08:30 PM,"(26.851740000000063, 80.93891000000008)","+919044005322	"
Titan World,"No M6, Gole MarketMahanagarLucknow - 226006, ",Open until 08:30 PM,"(26.873135040353862, 80.95762829433077)","+918400222266	"
Titan World,"F/53, 1st Floor, Phoenix Palassio Mall, Gomti Nagar, Amar Shaheed ParkSector 7Lucknow - 226010, ",Open until 08:30 PM,"(26.856337311017345, 81.00201863727493)","+919793003383	"
Titan World,"Shop No 40, UGF, Fun Republic MallGomti NagarLucknow - 226010, ",Open until 09:30 PM,"(26.85781000000003, 80.97584000000006)","+915224071196	"
Titan World,"Shop No 7, LGF, Patrakar Puram, Vinay KhandGomti NagarLucknow - 226010, ",Open until 09:00 PM,"(26.856490000000065, 81.00322000000006)","+915224951669	"
Titan World,"Block No 702, JS Tower, Ashiyana MarketSector KLucknow - 226012, ",Open until 09:00 PM,"(26.800029595865272, 80.91356037868042)","+919956504349	"
Titan World,"No 007, 1st Floor, Lulu Mall, Ansal API, Golf CitySaheed PathLucknow - 226030, ",Open until 10:00 PM,"(26.775318418430643, 81.00632316233467)","+915222811070	"
Titan World,"Shop No 1090, Civil LinesGolaghatSultanpur - 228001, ",Open until 08:30 PM,"(26.20313500000003, 82.16472019200006)","+919559993633	"
Titan World,"260 Ground Floor, Takkarganj, SahodarpurTakkarganjPratapgarh - 230001, ",Open until 08:30 PM,"(53.61568512900004, 23.743144682000036)","+919651314151	"
Titan World,"Ground Floor, Bajaj Dormatory Building, Town Hall RoadSadar BazaarShahjahanpur - 242001, ",Open until 09:00 PM,"(27.890874502735276, 79.91113180247358)","+918707450219	"
Titan World,"Civil LinesRampur GardenBareilly - 243001, ",Open until 08:30 PM,"(28.348949813751062, 79.41944864428737)","+919458212007	"
Titan World,"No C7, Mangalam TowerDd PuramBareilly - 243122, ",Open until 10:00 PM,"(28.406345000000044, 79.41215003400004)","+915813584217	"
Titan World,"Shaukat Ali RoadCivil LinesRampur - 244901, ",Open until 08:30 PM,"(28.793310000000076, 79.02222000000006)","+917080408107	"
Titan World,"Shop No 59Garh RoadHapur - 245101, ",Open until 08:30 PM,"(28.727953736663476, 77.80724492318797)","+917088034848	"
Titan World,"Ground Floor, Court RoadGhanta Ghar RoadSaharanpur - 247001, ",Open until 08:00 PM,"(29.91768604864598, 77.52118607636653)","+919528388917	"
Titan World,"No 177/16, Prem Mandir RoadCivil LinesRoorkee - 247667, ",Open until 08:30 PM,"(29.873070455872423, 77.89078354437943)","+919997006092	"
Titan World,"No 3, Astley HallRajpur RoadDehradun - 248001, ",Open until 09:00 PM,"(30.32967770847673, 78.0562659543631)","+917830033444	"
Titan World,"No 16/15, Ballupur RoadKishan Nagar ChowkDehradun - 248001, ",Open until 08:30 PM,"(30.33075998552644, 78.02262996231326)","+919358102121	"
Titan World,"Building No 58Railway RoadRishikesh - 249201, ",Open until 08:30 PM,"(30.11247653699853, 78.28648018353404)","+918126249596	"
Titan World,"Madhurim Building, Ranipur ModChandra Charya ChowkHaridwar - 249401, ",Open until 09:00 PM,"(29.933808251748403, 78.13472293528444)","+917060920888	"
Titan World,"Ward No 11, Church Compound, SakhawatganjNainital RoadHaldwani - 263139, ",Open until 08:30 PM,"(29.142125000000078, 79.80364149600007)","+918439989333	"
Titan World,"No D 1 & 2, Plot No 4, Ward No 13Kashipur Bypass RoadRudrapur - 263153, ",Open until 08:30 PM,"(28.97775681937172, 79.39370031171656)","+917409840008	"
Titan World,"48/41, Vibe Shopping Square, Roop Bhawan, Gonda RoadGhasiyaripuraBahraich - 271801, ",Open until 09:00 PM,"(27.570476391000057, 81.60026500000004)","+917275188333	"
Titan World,"Ground FloorBank RoadGorakhpur - 273001, ",Open until 08:00 PM,"(26.75007000000005, 83.39047265500005)","+917275012779	"
Titan World,"Shop No 1, Ground Floor, Jalkal GateGolgharGorakhpur - 273001, ",Open until 09:00 PM,"(26.75007000000005, 83.39047265500005)","+918303991404	"
Titan World,"SN 1 & 2, H No 53, UGF, Gokul ComplexCivil LinesDeoria - 274001, ",Open until 08:00 PM,"(26.464030000000037, 83.81300177900005)","+918858762518	"
Titan World,"Building No 344AilwalAzamgarh - 276001, ",Open until 08:00 PM,"(26.07207246200005, 83.17033500000008)","+919453779922	"
Titan World,"No 215/84, Dwarka Enclave, Link RoadKrishna NagarMathura - 281001, ",Open until 09:00 PM,"(28.555533012508345, 77.04840753208829)","+917088034949	"
Titan World,"Shop No G/2, 35/2Sanjay PlaceAgra - 282002, ",Open until 09:00 PM,"(27.201869455037258, 78.00733648552992)","+919105977735	"
Titan World,"Marda PlazaMI RoadJaipur - 302001, ",Open until 08:30 PM,"(26.920540009000035, 75.81365500000004)","+911414106729	"
Titan World,"No 1, Jaipur TowersMI RoadJaipur - 302001, ",Open until 08:30 PM,"(26.920540009000035, 75.81365500000004)","+919887978009	"
Titan World,"6 to 8, 1st Flr, MGF Metropolital Mall22 Godam CircleJaipur - 302001, ",Open until 08:30 PM,"(26.902550019744112, 75.79307498214445)","+911414917842	"
Titan World,"Plot No 5, Unit 2, Divya Mall, Lal KothiTonk RoadJaipur - 302015, ",Open until 09:30 PM,"(26.864795694000065, 75.79772500000007)","+911414003390	"
Titan World,"Shop No 9 & 10, UGF, WTP Mall, Block AMalviya NagarJaipur - 302017, ",Open until 09:30 PM,"(40.034809983351636, -81.58607003352887)","+911414041688	"
Titan World,"No122/44, Agarwal Farm, VijaypathMansarovarJaipur - 302020, ",Open until 09:00 PM,"(26.850430000000074, 75.75422350200006)","+911412782300	"
Titan World,"Shop No G/3 & G/4, Vaishali Tower 2, Nursari CircleVaishali NagarJaipur - 302021, ",Open until 08:30 PM,"(26.915000369902998, 75.74354450961711)","+919680346379	"
Titan World,"Shop No 13/14, Sajjan Arcade, Mini Mall, Bhadada GardenPratap Talkies RoadBhilwara - 311001, ",Open until 09:00 PM,"(25.34667001354819, 74.63619003753931)","+916376776623	"
Titan World,"Shop No 5, Gr Flr, The Celebration MallBhuwanaUdaipur - 313001, ",Open until 08:30 PM,"(24.588730000000055, 73.69557294500004)","+912945158898	"
Titan World,"No 132/133B, Main RoadAshok NagarUdaipur - 313001, ",Open until 09:00 PM,"(24.585260000000062, 73.70217000000008)","+917230049997	"
Titan World,"No 87, N BlockGausala RoadSriganganagar - 335001, ",Open until 09:00 PM,"(29.921683847161585, 73.87588172845517)","+911542480066	"
Titan World,"Shop No 8, Ground Floor, Goyal Tower, Mall RoadHanumangarh JunctionHanumangarh - 335512, ",Open until 09:00 PM,"(29.605204018192673, 74.29060502570866)","+911552294407	"
Titan World,"Ground FloorBikaner RoadSuratgarh - 335804, ",Open until 09:00 PM,"(29.31106999018745, 73.9050799998944)","+911509295120	"
Titan World,"Ground FloorJalori GateJodhpur - 342001, ",Open until 08:30 PM,"(26.265045000000043, 73.04356802100006)","+912912613513	"
Titan World,"No 372/B1, 3rd C RoadSardarpuraJodhpur - 342003, ",Open until 08:30 PM,"(26.266580000000033, 72.99915708300006)","+912912621525	"
Titan World,"Ground Floor, Holiday Business Circle, Kalawad RoadKotecha ChowkRajkot - 360001, ",Open until 09:00 PM,"(22.28943000000004, 70.77702000000005)","+912812580080	"
Titan World,"Shop No 1, Azzaro Square, Yagnik RoadTrikon BaugRajkot - 360001, ",Open until 08:40 PM,"(22.293255422553372, 70.80019264538382)","+917016275833	"
Titan World,"Ground Floor, Copper AnnexePN MargJamnagar - 361008, ",Open until 09:00 PM,"(22.485355000000027, 70.06275152000006)","+919925512222	"
Titan World,"Shop No 5 & 6, Balaji AvenueMoti Baugh RoadJunagadh - 362001, ",Open until 08:30 PM,"(10.991919991090853, 76.942849977381)","+918200939149	"
Titan World,"Shop No 3 & 4, Ghanshyam Market 2Ravapar RoadMorbi - 363641, ",Open until 09:30 PM,"(22.788894570965407, 70.82270572258464)","+918238799099	"
Titan World,"No G3, Krushna Darshan, Waghawadi RoadParimal ChowkBhavnagar - 364001, ",Open until 08:30 PM,"(21.760456626639588, 72.15283491741904)","+912782223123	"
Titan World,"Shop No 1, City Center ComplaxCommerce College RoadBhuj - 370001, ",Open until 09:30 PM,"(23.37761500000005, 69.77227186000005)","+917069199933	"
Titan World,"Shop No 3, 4, 7 & 8, Plot No 278 , Ward No 12 BGadi MarketGandhidham - 370201, ",Open until 08:30 PM,"(23.059120153000038, 70.12990000000008)","+919712347577	"
Titan World,"No 9/10, Maharaj ComplexRelief RoadAhmedabad - 380001, ",Open until 08:30 PM,"(23.026470000000074, 72.58362000000005)","+917600927487	"
Titan World,"No F/43, 1st Floor, Alpha One MallVastrapur Lake RoadAhmedabad - 380005, ",Open until 09:30 PM,"(23.039750000000026, 72.53092000000004)","+917940307341	"
Titan World,"No 4/5, Aarohi ComplexVijay Cross RoadAhmedabad - 380007, ",Open until 09:00 PM,"(23.000865000000033, 72.55268815700003)","+917801833662	"
Titan World,"Shop No 1, Shivalik Complex, Kankaria RoadMani NagarAhmedabad - 380008, ",Open until 10:00 PM,"(23.004821131093415, 72.60635871092254)","+917940099747	"
Titan World,"No 11, 12, 12A, Maridia PlazaCG RoadAhmedabad - 380009, ",Open until 09:00 PM,"(23.02669001418478, 72.55737998176244)","+917948902487	"
Titan World,"Shop No 5, Ground Floor, Shivalik Arcade, 100 Feet Ring RoadPrahallad NagarAhmedabad - 380018, ",Open until 08:30 PM,"(23.032655188000035, 72.61198000000007)","+917940326495	"
Titan World,"No 4/40, Vallabh Nagar, Char RastaBapunagarAhmedabad - 380024, ",Open until 08:30 PM,"(23.03836624400003, 72.63025000000005)","+918866505410	"
Titan World,"Shop No 139 to 141, TRP Mall, BRTS Road, East CourtBopalAhmedabad - 380058, ",Open until 09:00 PM,"(23.02416500000004, 72.46689135400004)","+919909022226	"
Titan World,"Shop No 7 to 10, Omkar PlazaNikolAhmedabad - 382350, ",Open until 09:30 PM,"(23.044836485000076, 72.66510500000004)","+917935586667	"
Titan World,"Shop No 06, Radhe Square Complex, Reliance Cross RoadsKudasanGandhinagar - 382421, ",Open until 09:00 PM,"(23.164735000000064, 72.59968525900007)","+918511038844	"
Titan World,"Shop No 44/45, 4D Square Mall, MoteraChandkhedaAhmedabad - 382424, ",Open until 09:00 PM,"(23.11573500000003, 72.58596506400005)","+919737399967	"
Titan World,"No 10/11, ETC Shakti, Vandematram RoadGotaAhmedabad - 382481, ",Open until 09:00 PM,"(23.092584028000033, 72.54653500000006)","+917069881122	"
Titan World,"Ground FloorChhaparia Cross RoadHimmatnagar - 383001, ",Open until 08:30 PM,Not Found,"+919974698537	"
Titan World,"Shop No 3 & 4, Darsh ComplexRadhanpur RoadMehsana - 384002, ",Open until 08:30 PM,"(23.61342865721138, 72.36750844440154)","+912762231444	"
Titan World,"Shop No 5, Devdarshan ComplexAbu RoadPalanpur - 385001, ",Open until 09:00 PM,"(24.186450000000036, 72.54371985100005)","+917567385001	"
Titan World,"No 1, Sky TatvaCollege RoadNadiad - 387001, ",Open until 08:00 PM,"(22.686940004437673, 72.86648001189644)","+919978997384	"
Titan World,"No G/11/12, Sanket ComplexLambhvel RoadAnand - 388001, ",Open until 08:00 PM,"(22.55293998520493, 72.94290997690658)","+912692666688	"
Titan World,"Survey No 16/280RaopuraVadodara - 390001, ",Open until 08:30 PM,"(22.29673500000007, 73.19754250000005)","+912652422975	"
Titan World,"No G/14, Inorbit MallSubhanpura RoadVadodara - 390003, ",Open until 09:30 PM,"(22.3214842916035, 73.16508569651006)","+917874857635	"
Titan World,"Wing B, Carnation BuildingRace Course CircleVadodara - 390007, ",Open until 09:00 PM,"(22.31143000000003, 73.16479000000004)","+912652335727	"
Titan World,"No 17/18, Alkapuri ArcadeRC Dutt RoadVadodara - 390007, ",Open until 09:00 PM,"(22.312585361422325, 73.17236905821859)","+917359251010	"
Titan World,"Shop No 9, Nilamber TriumphGotri Vasna RoadVadodara - 391410, ",Open until 09:30 PM,"(22.28927603165704, 73.12937157307093)","+919099069766	"
Titan World,"No 12/13/14, Dreamland PlazaStation RoadBharuch - 392001, ",Open until 08:30 PM,"(21.701700000000073, 72.99140000000006)","+912642266501	"
Titan World,"No 4, Ground Floor, Shantam BuildingSarthana RoadSurat - 395006, ",Open until 10:00 PM,"(21.229408099930893, 72.90345503625)","+917016046886	"
Titan World,"No 5, Natural ParkGhod Dod RoadSurat - 395007, ",Open until 09:15 PM,"(21.17482401636447, 72.80343461451538)","+919898419202	"
Titan World,"No U/3/4, Anjan Shlaka Complex, Surat Dumas RoadAthwalinesSurat - 395007, ",Open until 09:00 PM,"(21.119660000000067, 72.76238582000008)","+918866038936	"
Titan World,"F/105, 1st Floor, VR MallDumas RoadSurat - 395007, ",Open until 08:30 PM,"(21.119660000000067, 72.76238582000008)","+919898033185	"
Titan World,"HG/1, Shreeji Arcade, Anand Mahal RoadAdajanSurat - 395009, ",Open until 09:00 PM,"(21.19414000000006, 72.79858000000007)","+912612734729	"
Titan World,"No 6, Gunjan Shopping Centre, GIDCGunjan Char RastaVapi - 396195, ",Open until 09:00 PM,"(20.355153707000056, 72.93067000000008)","+919869777516	"
Titan World,"S No 1, Yusuf Building, Flora FountainVeer Nariman RoadMumbai - 400001, ",Open until 09:00 PM,"(18.924671725793523, 72.8302529407776)","+912247763447	"
Titan World,"Shop No 11, Rushabh Apartment, Charni RoadPrathna SamajMumbai - 400004, ",Open until 08:00 PM,"(18.956257515224788, 72.82274199636066)","+919326857119	"
Titan World,"No 378, NC Kelkar RoadDadar WestMumbai - 400028, ",Open until 09:00 PM,"(19.02198995305473, 72.84253665817833)","+912224211721	"
Titan World,"Holland House, S Bhagat Singh MargColabaMumbai - 400039, ",Open until 09:00 PM,"(48.83035000000007, 44.60835000000003)","+918419983397	"
Titan World,"No G1 & G2, Navchandra Niwas Cooperative, No 199, Linking Road, DiagonallyBandraMumbai - 400050, ",Open until 09:30 PM,"(19.05202569000005, 72.83004000000005)","+912266714800	"
Titan World,"No 365/C, Gr & 1st Flr, Giriraj BuildingKhar Linking RoadMumbai - 400052, ",Open until 08:30 PM,"(19.073990000000038, 72.83445000000006)","+919136149955	"
Titan World,"Shop No 2, Jamuna Apartment, SV RoadAndheri WestMumbai - 400058, ",Open until 09:00 PM,"(19.114690000000053, 72.84277000000003)","+912226203366	"
Titan World,"No F/28, 1st Floor, Oberoi Mall, Western Express HighwayGoregaon EastMumbai - 400063, ",Open until 09:30 PM,"(19.141369175270984, 72.85478547082666)","+912242645461	"
Titan World,"Shop No G24, Ground Floor, Inorbit Mall, Link RoadMallad WestMumbai - 400064, ",Open until 09:30 PM,"(19.172920000000033, 72.83618000000007)","+912249765876	"
Titan World,"LG9, Lower Ground Floor, Infiniti Mall, Link RoadMalad WestMumbai - 400064, ",Open until 10:00 PM,"(19.177975775515584, 72.8367801455229)","+912228808558	"
